Date,Open,High,Low,Close,Adj Close
2009-12-31,1.43420577,1.443897486,1.431045055,1.432705879,1.432705879
2010-01-01,1.432705879,1.440195799,1.432705879,1.438993812,1.438993812
2010-01-04,1.431004167,1.445191026,1.426208019,1.442397833,1.442397833
2010-01-05,1.442710042,1.448309779,1.435193777,1.436595917,1.436595917
2010-01-06,1.436595917,1.44345963,1.429122686,1.440403342,1.440403342
2010-01-07,1.44029963,1.444481373,1.43020606,1.431803226,1.431803226
2010-01-08,1.432090282,1.443605542,1.427103519,1.441109061,1.441109061
2010-01-11,1.446487188,1.455434561,1.446487188,1.451126099,1.451126099
2010-01-12,1.450894475,1.454376221,1.445964336,1.447659969,1.447659969
2010-01-13,1.447806597,1.457704663,1.44585979,1.452390552,1.452390552
2010-01-14,1.452411771,1.455201626,1.446257114,1.449989796,1.449989796
2010-01-15,1.449905753,1.450410485,1.434576154,1.439097404,1.439097404
2010-01-18,1.437235951,1.440673113,1.43369174,1.440673113,1.440673113
2010-01-19,1.440507054,1.441399932,1.425699711,1.428102136,1.428102136
2010-01-20,1.428408265,1.429000139,1.408708692,1.411034226,1.411034226
2010-01-21,1.411113977,1.414027214,1.403095126,1.409701586,1.409701586
2010-01-22,1.409840703,1.418198228,1.408907056,1.414107084,1.414107084
2010-01-25,1.415408134,1.419426322,1.413107991,1.415007591,1.415007591
2010-01-26,1.41480732,1.417896748,1.404415488,1.40823245,1.40823245
2010-01-27,1.40809381,1.409741282,1.400167942,1.403095126,1.403095126
2010-01-28,1.402996898,1.404968023,1.394991994,1.396804214,1.396804214
2010-01-29,1.396706581,1.398699164,1.386481762,1.386693239,1.386693239
2010-02-01,1.38759768,1.393708825,1.38557899,1.39269948,1.39269948
2010-02-02,1.392176032,1.397624016,1.388908148,1.397624016,1.397624016
2010-02-03,1.397584915,1.402406454,1.388618946,1.390105247,1.390105247
2010-02-04,1.390182495,1.390607834,1.372005582,1.374494791,1.374494791
2010-02-05,1.374475956,1.374608278,1.358806491,1.368007779,1.368007779
2010-02-08,1.364498496,1.371403575,1.362527728,1.36546731,1.36546731
2010-02-09,1.365672469,1.383948922,1.365094543,1.378207803,1.378207803
2010-02-10,1.378207803,1.381101012,1.36813879,1.375326633,1.375326633
2010-02-11,1.375005126,1.379957557,1.360007644,1.368176222,1.368176222
2010-02-12,1.368944049,1.368944049,1.353308201,1.3634938,1.3634938
2010-02-15,1.362806201,1.363196492,1.358308077,1.36030364,1.36030364
2010-02-16,1.359730244,1.37777102,1.359194279,1.376708865,1.376708865
2010-02-17,1.376538277,1.378872991,1.359231114,1.360692263,1.360692263
2010-02-18,1.361062765,1.365318179,1.345026016,1.34614861,1.34614861
2010-02-19,1.347055316,1.362008095,1.345695734,1.361507416,1.361507416
2010-02-22,1.362899184,1.365299582,1.357717991,1.360562682,1.360562682
2010-02-23,1.360618234,1.369262815,1.349782705,1.352704048,1.352704048
2010-02-24,1.352685809,1.362193704,1.350292921,1.354316235,1.354316235
2010-02-25,1.354462862,1.356999397,1.345206976,1.353601217,1.353601217
2010-02-26,1.353747845,1.367858052,1.353601217,1.363103509,1.363103509
2010-03-01,1.364293694,1.365392804,1.346257448,1.356208086,1.356208086
2010-03-02,1.355968952,1.362305045,1.344519734,1.362063885,1.362063885
2010-03-03,1.362008095,1.373399973,1.359841228,1.370163321,1.370163321
2010-03-04,1.370125771,1.371196628,1.355748296,1.358400345,1.358400345
2010-03-05,1.358308077,1.362899184,1.353656173,1.362899184,1.362899184
2010-03-08,1.36410749,1.370369792,1.361044168,1.361692786,1.361692786
2010-03-09,1.361822724,1.363586783,1.353857875,1.360692263,1.360692263
2010-03-10,1.360932946,1.367671013,1.354866624,1.364331007,1.364331007
2010-03-11,1.364926815,1.368794203,1.362305045,1.368531942,1.368531942
